Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_20_48_07,Exp_withdraw,396.53333333333336,398.3,11896,11948,1.7666666666666666
0428_20_48_07,Exp_withdraw,425.03333333333336,425.6,12751,12767,0.5666666666666667
0428_20_48_07,Exp_freeze,15.3,16.333333333333332,459,489,1.0333333333333334
0428_20_48_07,Exp_freeze,56.03333333333333,56.93333333333333,1681,1707,0.9
0428_20_48_07,Exp_freeze,166.6,167.46666666666667,4998,5023,0.8666666666666667
0428_20_48_07,Both_social,14.2,14.5,426,434,0.3
0428_20_48_07,Both_social,79.66666666666667,80.06666666666666,2390,2401,0.4
0428_20_48_07,Both_social,218.7,219.63333333333333,6561,6588,0.9333333333333333
0428_20_48_07,Both_social,245.36666666666667,247.36666666666667,7361,7420,2.0
0428_20_48_07,Both_social,358.06666666666666,359.43333333333334,10742,10782,1.3666666666666667
